순위 (누적관객수 순),순번 (역대 몇 번째 천만 영화),개봉연도,제목,감독,배급사,누적관객수 (명),천만 돌파 소요일
1,12,2014,명량,김한민,CJ ENM MOVIE,17616661,12
2,34,2026,왕과 사는 남자,장항준,쇼박스,16922332,31
3,23,2019,극한직업,이병헌,CJ ENM MOVIE,16266641,15
4,20,2017,신과함께-죄와 벌,김용화,롯데엔터테인먼트,14414658,16
5,14,2014,국제시장,윤제균,CJ ENM MOVIE,14269317,28
6,6,2009,아바타,제임스 카메론,20세기 폭스 코리아,14003138,38
7,24,2019,어벤져스: 엔드게임,"앤서니 루소, 조 루소",월트 디즈니 컴퍼니 코리아,13977602,11
8,27,2019,겨울왕국 2,"크리스 벅, 제니퍼 리",월트 디즈니 컴퍼니 코리아,13768797,17
9,17,2015,베테랑,류승완,CJ ENM MOVIE,13414649,25
10,31,2023,서울의 봄,김성수,플러스엠,13128547,33
