주문번호,주문일,고객등급,채널,지역,상품,분류,수량,단가,매출액,월,요일,대형주문,주문건수
ORD1001,2026-01-03,실버,전화,서울,모니터,가전,2,350000,700000,1,토,True,1
ORD1002,2026-01-03,VIP,웹,서울,노트북,가전,5,1200000,6000000,1,토,True,1
ORD1003,2026-01-04,실버,전화,광주,노트북,가전,5,1200000,6000000,1,일,True,1
ORD1004,2026-01-04,실버,전화,대구,키보드,주변기기,1,45000,45000,1,일,False,1
ORD1005,2026-01-04,일반,웹,대구,텀블러,생활,3,28000,84000,1,일,False,1
ORD1006,2026-01-04,일반,전화,대구,이어폰,주변기기,3,89000,267000,1,일,False,1
ORD1007,2026-01-05,골드,전화,광주,노트북,가전,5,1200000,6000000,1,월,True,1
ORD1008,2026-01-05,일반,전화,경기,모니터,가전,1,350000,350000,1,월,False,1
ORD1009,2026-01-05,일반,앱,부산,텀블러,생활,2,28000,56000,1,월,False,1
ORD1010,2026-01-06,실버,전화,부산,키보드,주변기기,3,45000,135000,1,화,False,1
ORD1011,2026-01-08,실버,웹,대구,가습기,생활,2,65000,130000,1,목,False,1
ORD1012,2026-01-08,실버,전화,부산,가습기,생활,5,65000,325000,1,목,False,1
ORD1013,2026-01-08,골드,앱,부산,모니터,가전,1,350000,350000,1,목,False,1
ORD1014,2026-01-08,실버,전화,대구,이어폰,주변기기,3,89000,267000,1,목,False,1
ORD1015,2026-01-09,실버,웹,광주,모니터,가전,3,350000,1050000,1,금,True,1
ORD1016,2026-01-09,VIP,앱,경기,마우스,주변기기,5,25000,125000,1,금,False,1
ORD1017,2026-01-09,일반,웹,경기,마우스,주변기기,1,25000,25000,1,금,False,1
ORD1018,2026-01-10,VIP,앱,광주,이어폰,주변기기,1,89000,89000,1,토,False,1
ORD1019,2026-01-10,일반,전화,광주,이어폰,주변기기,1,89000,89000,1,토,False,1
ORD1020,2026-01-10,골드,앱,경기,키보드,주변기기,1,45000,45000,1,토,False,1
ORD1021,2026-01-11,일반,전화,부산,이어폰,주변기기,2,89000,178000,1,일,False,1
ORD1022,2026-01-11,골드,웹,광주,모니터,가전,2,350000,700000,1,일,True,1
ORD1023,2026-01-13,일반,웹,부산,키보드,주변기기,4,45000,180000,1,화,False,1
ORD1024,2026-01-13,일반,웹,광주,키보드,주변기기,2,45000,90000,1,화,False,1
ORD1025,2026-01-13,실버,웹,대구,마우스,주변기기,1,25000,25000,1,화,False,1
ORD1026,2026-01-13,VIP,웹,광주,이어폰,주변기기,5,89000,445000,1,화,False,1
ORD1027,2026-01-14,VIP,전화,대구,마우스,주변기기,3,25000,75000,1,수,False,1
ORD1029,2026-01-16,골드,웹,광주,노트북,가전,1,1200000,1200000,1,금,True,1
ORD1030,2026-01-17,VIP,웹,대구,이어폰,주변기기,2,89000,178000,1,토,False,1
ORD1031,2026-01-19,VIP,앱,서울,키보드,주변기기,4,45000,180000,1,월,False,1
ORD1032,2026-01-19,VIP,전화,부산,노트북,가전,1,1200000,1200000,1,월,True,1
ORD1033,2026-01-19,VIP,웹,대구,모니터,가전,2,350000,700000,1,월,True,1
ORD1034,2026-01-21,일반,웹,광주,텀블러,생활,5,28000,140000,1,수,False,1
ORD1035,2026-01-21,실버,앱,대구,텀블러,생활,2,28000,56000,1,수,False,1
ORD1036,2026-01-21,VIP,웹,대구,노트북,가전,2,1200000,2400000,1,수,True,1
ORD1037,2026-01-22,VIP,웹,경기,키보드,주변기기,4,45000,180000,1,목,False,1
ORD1038,2026-01-22,일반,전화,부산,이어폰,주변기기,5,89000,445000,1,목,False,1
ORD1039,2026-01-22,실버,웹,광주,이어폰,주변기기,5,89000,445000,1,목,False,1
ORD1040,2026-01-23,VIP,웹,광주,노트북,가전,2,1200000,2400000,1,금,True,1
ORD1041,2026-01-23,VIP,전화,광주,이어폰,주변기기,1,89000,89000,1,금,False,1
ORD1042,2026-01-23,골드,웹,부산,키보드,주변기기,2,45000,90000,1,금,False,1
ORD1043,2026-01-23,골드,웹,서울,키보드,주변기기,4,45000,180000,1,금,False,1
ORD1044,2026-01-26,골드,웹,부산,모니터,가전,5,350000,1750000,1,월,True,1
ORD1045,2026-01-26,실버,앱,광주,키보드,주변기기,3,45000,135000,1,월,False,1
ORD1046,2026-01-26,일반,전화,광주,텀블러,생활,5,28000,140000,1,월,False,1
ORD1047,2026-01-26,일반,웹,광주,모니터,가전,3,350000,1050000,1,월,True,1
ORD1048,2026-01-27,실버,전화,부산,가습기,생활,3,65000,195000,1,화,False,1
ORD1049,2026-02-02,일반,웹,부산,텀블러,생활,3,28000,84000,2,월,False,1
ORD1050,2026-02-02,VIP,전화,대구,키보드,주변기기,2,45000,90000,2,월,False,1
ORD1051,2026-02-02,일반,앱,광주,가습기,생활,2,65000,130000,2,월,False,1
ORD1052,2026-02-04,골드,웹,경기,키보드,주변기기,1,45000,45000,2,수,False,1
ORD1053,2026-02-04,실버,웹,경기,이어폰,주변기기,4,89000,356000,2,수,False,1
ORD1054,2026-02-05,골드,앱,경기,노트북,가전,2,1200000,2400000,2,목,True,1
ORD1055,2026-02-05,일반,앱,경기,노트북,가전,4,1200000,4800000,2,목,True,1
ORD1056,2026-02-05,실버,웹,서울,키보드,주변기기,3,45000,135000,2,목,False,1
ORD1057,2026-02-06,골드,앱,광주,텀블러,생활,1,28000,28000,2,금,False,1
ORD1058,2026-02-06,일반,웹,부산,이어폰,주변기기,3,89000,267000,2,금,False,1
ORD1059,2026-02-07,VIP,앱,부산,노트북,가전,1,1200000,1200000,2,토,True,1
ORD1060,2026-02-07,일반,앱,서울,노트북,가전,4,1200000,4800000,2,토,True,1
ORD1061,2026-02-08,골드,앱,서울,가습기,생활,2,65000,130000,2,일,False,1
ORD1062,2026-02-08,일반,전화,부산,이어폰,주변기기,3,89000,267000,2,일,False,1
